country,year,GDP,Unemployment,Interest_Rate,Debt,Working_Age_Pop,Inflation,Current_Account,Global_Oil
France,2016,2470407619777.13,10.057,0.0,0.0,62.632173096763,0.183334861123829,-0.538632351885894,99.9999999999997
France,2017,2588868323334.71,9.409,0.0,0.0,62.3980765439097,1.03228275064667,-0.474615185215669,122.7425668981605
France,2018,2781576320884.39,9.018,0.0,0.0,62.1793955597294,1.85081508315501,-0.735670615255371,155.565059212108
France,2019,2722793515171.76,8.415,0.0,0.0,61.9811666181521,1.10825492288292,0.587362764575748,142.88757825015574
France,2020,2647926055110.05,8.009,0.0,0.0,61.8134010588151,0.476498852725014,-2.00313613657686,96.2593228900347
France,2021,2966433692008.09,7.874,0.0,0.0,61.7040398746753,1.64233141038393,0.244238511780542,156.3461425646965
France,2022,2796302210398.84,7.308,0.0,0.0,61.5912351189772,5.22236748369736,-1.43157299945545,231.3828646658915
France,2023,3051831611384.76,7.335,0.0,0.0,61.4660792751563,4.87835726508438,-1.04452732139601,194.26053940002424
France,2024,3162079073495.78,7.37,0.0,0.0,61.3483170751607,1.99904942291464,0.0850839325691256,191.77688801027324
Germany,1995,2593053091306.13,8.158,0.0,0.0,68.3513415565947,1.70616041317077,-1.06756701779392,36.51207752578947
Germany,1996,2506576553158.31,8.822,0.0,0.0,68.3063358490373,1.44972701963239,-0.492213210288901,45.33193878772347
Germany,1997,2218790886532.82,9.861,0.0,0.0,68.2720544299515,1.9393719892273,-0.355877126875177,45.14363585816453
Germany,1998,2247760364565.97,9.787,0.0,0.0,68.2355114174291,0.911183535014401,-0.474729135736977,31.36656182286985
Germany,1999,2213873468586.88,8.854,0.0,0.0,68.1136120055995,0.585433064230788,-1.16769718086738,42.71588215692125
Germany,2000,1966980701145.1,7.917,0.0,0.0,67.885670642617,1.4402683871974,-1.5131310276989,69.41210844837282
Germany,2001,1966381496641.73,7.773,0.0,0.0,67.664203690965,1.98385731334472,-0.17042466008937,61.764241720543275
Germany,2002,2102350798305.89,8.482,0.0,0.0,67.4723981364479,1.42080615551526,1.98424702046954,61.907585382371835
Germany,2003,2534715518349.01,9.779,0.0,0.0,67.268380561822,1.03422218628562,1.53250948753762,66.31480412915562
Germany,2004,2852317768061.78,10.727,0.0,0.0,66.9801813153722,1.66573696655992,4.53374240243279,81.92991415763237
